,Unnamed: 0,Source,Target,Weight
5715,5715,11-2031.00,11-3111.00,0.00438882883677
5716,5716,11-2031.00,11-3121.00,0.00351454294872
5739,5739,11-2031.00,11-9151.00,0.00626859853656
5744,5744,11-2031.00,11-9199.04,0.0058124412138
5770,5770,11-2031.00,13-1131.00,0.00690004298891
5818,5818,11-2031.00,15-1199.09,0.00539388707642
5968,5968,11-2031.00,21-2021.00,0.0051034247925
6028,6028,11-2031.00,25-4012.00,0.00694635877755
6049,6049,11-2031.00,27-2012.01,0.00617025147123
6067,6067,11-2031.00,27-3031.00,0.00701177590087
6270,6270,11-2031.00,41-1012.00,0.00458874274034
6657,6657,11-3011.00,11-3061.00,0.00285661014639
6658,6658,11-3011.00,11-3071.01,0.0061024212031
6660,6660,11-3011.00,11-3071.03,0.00656999362134
6668,6668,11-3011.00,11-9031.00,0.00656502619752
6671,6671,11-3011.00,11-9039.01,0.00662456985435
6677,6677,11-3011.00,11-9071.00,0.00509038673457
6683,6683,11-3011.00,11-9131.00,0.00329061820203
6684,6684,11-3011.00,11-9141.00,0.00641905471403
6686,6686,11-3011.00,11-9161.00,0.00660271681411
6691,6691,11-3011.00,11-9199.07,0.00629655962387
6988,6988,11-3011.00,27-1022.00,0.00521758173359
6991,6991,11-3011.00,27-1025.00,0.00689873710161
6995,6995,11-3011.00,27-2012.01,0.00481811450471
6997,6997,11-3011.00,27-2012.03,0.00669353106564
7185,7185,11-3011.00,39-1021.00,0.006617449499
7215,7215,11-3011.00,41-1011.00,0.00563173617679
7239,7239,11-3011.00,43-1011.00,0.00440032914003
7274,7274,11-3011.00,43-5032.00,0.00633656334075
7657,7657,11-3021.00,13-1081.01,0.00692087448859
7779,7779,11-3021.00,17-3029.05,0.00373518848537
8550,8550,11-3031.01,11-3111.00,0.00613954364203
8578,8578,11-3031.01,11-9199.03,0.00639903712467
8596,8596,11-3031.01,13-1051.00,0.00512651344636
8619,8619,11-3031.01,13-2031.00,0.00646016360242
9493,9493,11-3031.02,11-3111.00,0.00388802003488
9494,9494,11-3031.02,11-3121.00,0.00592293816384
9521,9521,11-3031.02,11-9199.03,0.00718656596533
9808,9808,11-3031.02,25-4021.00,0.00712989339411
10048,10048,11-3031.02,41-1012.00,0.00371596239583
10428,10428,11-3051.00,11-3051.01,0.00645943299334
